contact_id,group,num_send,num_open,num_click,sales_amount
200,treatment,3,1,0,0
201,treatment,2,1,0,0
202,treatment,3,1,0,0
203,treatment,0,0,0,0
204,treatment,0,0,0,0
205,treatment,0,0,0,0
206,treatment,3,0,0,0
207,treatment,0,0,0,0
208,treatment,3,0,0,0
209,treatment,3,0,0,0
210,treatment,3,0,0,0
211,treatment,0,0,0,39.95
212,treatment,3,0,0,0
213,treatment,1,0,0,0
214,treatment,3,0,0,0
215,treatment,3,0,0,0
216,treatment,3,0,0,0
217,treatment,3,0,0,0
218,treatment,0,0,0,0
219,control,0,0,0,0
220,treatment,0,0,0,0
221,treatment,2,1,0,0
222,treatment,3,0,0,0
223,treatment,3,0,0,0
224,treatment,0,0,0,0
225,treatment,3,0,0,0
226,control,3,3,0,0
227,treatment,3,1,0,0
228,treatment,0,0,0,0
229,treatment,2,1,0,0
230,treatment,0,0,0,0
231,treatment,0,0,0,0
232,treatment,3,1,0,0
233,treatment,3,0,0,0
234,control,0,0,0,0
235,treatment,2,0,0,0
236,treatment,3,0,0,0
237,treatment,2,0,0,0
238,treatment,3,0,0,0
239,treatment,1,0,0,0
240,treatment,3,0,0,0
241,treatment,0,0,0,0
242,treatment,0,0,0,0
243,treatment,0,0,0,0
244,treatment,3,0,0,0
245,treatment,3,0,0,0
246,treatment,0,0,0,0
247,treatment,3,2,1,0
248,treatment,3,0,0,0
249,treatment,3,0,0,0
250,treatment,3,0,0,0
251,treatment,3,0,0,0
252,treatment,3,0,0,0
253,treatment,0,0,0,0
254,treatment,0,0,0,0
255,treatment,0,0,0,0
256,treatment,3,0,0,0
257,treatment,3,0,0,0
258,treatment,3,0,0,0
259,treatment,3,0,0,0
260,treatment,3,0,0,0
261,control,1,0,0,0
262,treatment,0,0,0,0
263,control,2,0,0,0
264,treatment,3,0,0,0
265,treatment,0,0,0,0
266,treatment,1,0,0,0
267,treatment,0,0,0,0
268,control,3,0,0,0
269,treatment,3,0,0,0
270,treatment,4,1,0,0
271,treatment,0,0,0,0
272,treatment,3,1,0,0
273,treatment,2,0,0,0
274,treatment,0,0,0,0
275,treatment,2,1,0,0
276,treatment,3,0,0,0
277,treatment,3,0,0,0
278,control,3,0,0,0
279,treatment,0,0,0,0
280,treatment,0,0,0,0
281,treatment,3,0,0,0
282,control,3,0,0,0
283,treatment,3,0,0,0
284,treatment,3,0,0,0
285,treatment,2,0,0,0
286,treatment,3,0,0,0
287,treatment,1,0,0,0
288,treatment,3,3,0,0
289,treatment,0,0,0,0
290,treatment,0,0,0,0
291,control,0,0,0,0
292,treatment,3,0,0,0
293,treatment,0,0,0,0
294,control,0,0,0,0
295,treatment,3,1,0,0
296,treatment,3,0,0,0
297,treatment,0,0,0,0
298,treatment,1,0,0,0
299,treatment,3,0,0,0
300,treatment,3,0,0,0
301,treatment,3,0,0,0
302,treatment,2,1,1,0
303,treatment,3,0,0,0
304,treatment,3,0,0,0
305,treatment,0,0,0,0
306,treatment,2,0,0,0
307,treatment,1,0,0,0
308,treatment,2,0,0,0
309,treatment,3,2,1,0
310,treatment,0,0,0,0
311,treatment,3,0,0,0
312,treatment,0,0,0,0
313,treatment,3,0,0,0
314,treatment,3,0,0,0
315,treatment,4,0,0,0
316,treatment,3,0,0,0
317,treatment,0,0,0,0
318,treatment,0,0,0,0
319,treatment,0,0,0,0
320,treatment,3,0,0,0
321,treatment,3,1,0,0
322,treatment,3,0,0,0
323,treatment,0,0,0,0
324,treatment,2,0,0,0
325,treatment,2,0,0,0
326,control,3,0,0,0
327,treatment,0,0,0,0
328,treatment,0,0,0,0
329,treatment,4,1,0,0
330,treatment,2,0,0,0
331,treatment,3,0,0,0
332,treatment,0,0,0,0
333,treatment,0,0,0,0
334,treatment,3,1,0,0
335,control,0,0,0,0
336,treatment,1,0,0,0
337,treatment,0,0,0,0
338,control,2,0,0,0
339,treatment,3,0,0,0
340,treatment,2,0,0,0
341,treatment,0,0,0,0
342,treatment,4,0,0,0
343,treatment,1,0,0,0
344,control,3,0,0,0
345,treatment,0,0,0,0
346,treatment,0,0,0,0
347,treatment,0,0,0,0
348,treatment,0,0,0,0
349,treatment,3,0,0,0
350,treatment,0,0,0,0
351,treatment,2,0,0,0
352,treatment,3,0,0,0
353,treatment,1,0,0,0
354,treatment,3,0,0,0
355,treatment,1,0,0,0
356,treatment,3,0,0,0
357,treatment,3,0,0,0
358,treatment,3,0,0,0
359,treatment,3,0,0,0
360,treatment,0,0,0,0
361,treatment,0,0,0,0
362,treatment,3,0,0,0
363,treatment,2,0,0,0
364,treatment,3,0,0,0
365,treatment,3,0,0,0
366,treatment,3,2,0,0
367,control,0,0,0,0
368,treatment,2,1,0,0
369,control,3,0,0,0
370,treatment,0,0,0,0
371,treatment,0,0,0,0
372,treatment,2,2,0,0
373,treatment,2,0,0,0
374,control,3,0,0,0
375,treatment,0,0,0,0
376,control,0,0,0,0
377,treatment,3,0,0,0
378,treatment,3,0,0,0
379,treatment,4,2,0,0
380,control,3,0,0,0
381,control,0,0,0,0
382,treatment,0,0,0,0
383,treatment,0,0,0,0
384,treatment,3,0,0,0
385,treatment,3,0,0,0
386,treatment,0,0,0,0
387,treatment,3,0,0,0
388,treatment,3,0,0,0
389,treatment,3,0,0,0
390,treatment,3,0,0,0
391,treatment,3,1,0,0
392,treatment,1,0,0,0
393,treatment,3,0,0,0
394,treatment,0,0,0,0
395,treatment,1,0,0,0
396,treatment,3,1,0,0
397,treatment,3,0,0,0
398,treatment,2,0,0,0
399,treatment,0,0,0,0
400,treatment,2,0,0,0
401,treatment,3,0,0,0
402,treatment,0,0,0,0
403,treatment,2,1,0,0
404,treatment,0,0,0,0
405,treatment,3,0,0,0
406,treatment,3,0,0,0
407,treatment,0,0,0,0
408,treatment,3,1,0,0
409,treatment,0,0,0,0
410,treatment,3,0,0,0
411,treatment,1,0,0,0
412,treatment,0,0,0,0
413,treatment,4,0,0,0
414,treatment,3,0,0,0
415,treatment,3,0,0,0
416,treatment,0,0,0,0
417,treatment,2,1,0,0
418,treatment,0,0,0,0
419,treatment,5,1,1,0
420,treatment,2,0,0,0
421,treatment,0,0,0,0
422,control,0,0,0,0
423,treatment,4,0,0,0
424,treatment,3,0,0,0
425,treatment,3,1,0,0
426,treatment,2,0,0,0
427,treatment,3,0,0,0
428,treatment,0,0,0,0
429,treatment,3,0,0,0
430,control,0,0,0,0
431,control,0,0,0,0
432,control,0,0,0,0
433,treatment,2,1,0,0
434,treatment,0,0,0,0
435,treatment,2,0,0,0
436,treatment,3,0,0,0
437,treatment,4,0,0,0
438,treatment,3,0,0,0
439,treatment,3,0,0,0
440,treatment,0,0,0,0
441,treatment,2,0,0,0
442,treatment,0,0,0,0
443,treatment,3,0,0,0
444,treatment,3,0,0,0
445,treatment,3,0,0,0
446,treatment,0,0,0,0
447,treatment,0,0,0,0
448,treatment,3,0,0,0
449,treatment,3,0,0,0
450,treatment,3,0,0,0
451,treatment,2,0,0,0
452,treatment,3,1,0,0
453,control,0,0,0,0
454,treatment,1,0,0,0
455,treatment,2,0,0,0
456,treatment,2,0,0,0
457,control,3,0,0,0
458,treatment,2,0,0,0
459,treatment,3,0,0,0
460,treatment,3,1,1,0
461,treatment,0,0,0,0
462,treatment,3,0,0,0
463,treatment,3,0,0,0
464,treatment,3,0,0,503.99
465,treatment,0,0,0,0
466,treatment,2,0,0,0
467,control,3,0,0,0
468,treatment,0,0,0,0
469,treatment,2,0,0,0
470,treatment,3,1,0,0
471,treatment,4,2,0,0
472,treatment,3,0,0,0
473,treatment,3,0,0,0
474,treatment,0,0,0,0
475,treatment,2,0,0,0
476,treatment,3,0,0,0
477,treatment,0,0,0,0
478,treatment,0,0,0,0
479,treatment,0,0,0,0
480,control,0,0,0,0
481,treatment,2,0,0,0
482,treatment,0,0,0,0
483,treatment,0,0,0,0
484,treatment,3,2,0,0
485,treatment,0,0,0,0
486,treatment,3,0,0,0
487,treatment,3,1,0,0
488,control,3,0,0,0
489,control,3,0,0,0
490,treatment,0,0,0,0
491,control,2,0,0,0
492,treatment,0,0,0,0
493,treatment,3,0,0,0
494,treatment,2,0,0,0
495,treatment,0,0,0,0
496,treatment,1,0,0,0
497,treatment,1,0,0,0
498,control,3,0,0,0
499,treatment,3,0,0,0
500,treatment,0,0,0,0
501,treatment,0,0,0,0
502,treatment,0,0,0,0
503,treatment,0,0,0,0
504,control,2,1,0,0
505,treatment,1,0,0,0
506,treatment,3,0,0,0
507,control,0,0,0,0
508,treatment,3,0,0,0
509,treatment,5,4,1,0
510,treatment,2,1,0,0
511,treatment,0,0,0,0
512,control,1,0,0,0
513,treatment,3,0,0,0
514,treatment,3,1,0,0
515,treatment,3,0,0,0
516,treatment,2,1,1,0
517,treatment,6,3,3,0
518,treatment,2,0,0,0
519,treatment,0,0,0,0
520,treatment,3,1,0,0
521,treatment,0,0,0,0
522,treatment,0,0,0,0
523,treatment,1,0,0,0
524,treatment,1,0,0,0
525,treatment,3,0,0,0
526,treatment,0,0,0,0
527,treatment,3,0,0,0
528,treatment,0,0,0,0
529,treatment,0,0,0,0
530,treatment,3,0,0,0
531,treatment,1,0,0,0
532,treatment,3,0,0,0
533,treatment,2,0,0,0
534,treatment,2,0,0,0
535,treatment,3,1,0,0
536,control,3,0,0,0
537,treatment,3,0,0,0
538,treatment,2,0,0,0
539,treatment,2,0,0,0
540,treatment,3,0,0,0
541,treatment,3,1,0,0
542,treatment,0,0,0,0
543,treatment,2,2,1,0
544,treatment,1,0,0,0
545,treatment,3,0,0,0
546,treatment,0,0,0,0
547,treatment,2,1,0,0
548,control,2,0,0,0
549,treatment,3,0,0,0
550,treatment,0,0,0,0
551,control,0,0,0,0
552,treatment,3,0,0,0
553,treatment,2,1,0,0
554,treatment,1,0,0,0
555,control,2,0,0,0
556,treatment,0,0,0,0
557,treatment,3,0,0,0
558,treatment,0,0,0,0
559,treatment,3,1,0,0
560,treatment,3,0,0,0
561,treatment,0,0,0,0
562,treatment,3,0,0,0
563,treatment,3,0,0,0
564,control,0,0,0,0
565,treatment,3,0,0,0
566,treatment,2,0,0,0
567,treatment,3,0,0,0
568,treatment,0,0,0,0
569,treatment,3,0,0,0
570,treatment,2,0,0,0
571,treatment,3,0,0,0
572,treatment,3,3,1,0
573,treatment,3,0,0,0
574,treatment,3,0,0,0
575,treatment,3,0,0,0
576,treatment,0,0,0,0
577,treatment,1,0,0,0
578,treatment,3,0,0,0
579,treatment,3,3,0,0
580,control,0,0,0,0
581,treatment,0,0,0,0
582,treatment,3,0,0,0
583,treatment,0,0,0,0
584,treatment,0,0,0,0
585,treatment,0,0,0,0
586,treatment,3,0,0,0
587,treatment,0,0,0,0
588,treatment,2,0,0,0
589,treatment,3,1,0,0
590,treatment,3,0,0,0
591,treatment,1,0,0,0
592,control,0,0,0,0
593,treatment,3,0,0,0
594,treatment,3,0,0,0
595,treatment,0,0,0,0
596,treatment,0,0,0,0
597,control,3,0,0,0
598,treatment,3,0,0,0
599,treatment,0,0,0,0
600,control,3,0,0,0
601,treatment,0,0,0,0
602,treatment,3,0,0,0
603,treatment,3,0,0,0
604,treatment,3,0,0,0
605,treatment,1,0,0,0
606,treatment,0,0,0,0
607,treatment,0,0,0,0
608,treatment,2,0,0,0
609,treatment,3,0,0,0
610,control,3,0,0,0
611,treatment,3,0,0,0
612,treatment,0,0,0,0
613,control,3,0,0,0
614,treatment,0,0,0,0
615,treatment,3,0,0,0
616,treatment,0,0,0,0
617,treatment,3,0,0,0
618,treatment,0,0,0,0
619,treatment,3,1,0,0
620,treatment,0,0,0,0
621,treatment,0,0,0,0
622,treatment,0,0,0,0
623,treatment,3,0,0,0
624,treatment,0,0,0,0
625,treatment,3,0,0,0
626,treatment,1,0,0,0
627,treatment,1,0,0,0
628,treatment,0,0,0,0
629,treatment,3,0,0,0
630,control,0,0,0,0
631,treatment,3,0,0,0
632,treatment,0,0,0,0
633,treatment,3,1,0,0
634,treatment,3,2,0,0
635,treatment,3,0,0,0
636,control,3,1,1,0
637,treatment,3,0,0,0
638,treatment,0,0,0,0
639,treatment,3,1,0,0
640,treatment,3,0,0,0
641,treatment,3,0,0,0
642,treatment,3,2,0,129.97
643,treatment,0,0,0,0
644,treatment,2,0,0,0
645,treatment,3,0,0,0
646,treatment,0,0,0,0
647,treatment,2,1,0,0
648,treatment,1,0,0,0
649,treatment,3,0,0,0
650,treatment,2,2,0,0
651,treatment,1,0,0,0
652,control,0,0,0,0
653,treatment,2,0,0,0
654,treatment,0,0,0,0
655,treatment,3,0,0,0
656,treatment,0,0,0,0
657,treatment,0,0,0,0
658,control,0,0,0,0
659,treatment,2,0,0,0
660,treatment,3,1,0,0
661,control,2,0,0,0
662,treatment,2,0,0,0
663,treatment,0,0,0,0
664,control,3,0,0,0
665,treatment,3,2,0,0
666,treatment,3,0,0,0
667,treatment,0,0,0,0
668,treatment,0,0,0,0
669,treatment,2,0,0,0
670,treatment,3,0,0,0
671,treatment,3,0,0,0
672,treatment,3,0,0,0
673,treatment,2,0,0,0
674,treatment,4,0,0,0
675,treatment,0,0,0,0
676,treatment,2,1,0,0
677,treatment,6,2,2,0
678,treatment,0,0,0,0
679,treatment,3,0,0,0
680,treatment,3,0,0,0
681,treatment,0,0,0,0
682,treatment,2,2,0,0
683,treatment,3,1,1,0
684,treatment,0,0,0,0
685,treatment,2,0,0,0
686,control,3,3,0,0
687,treatment,2,0,0,0
688,treatment,2,0,0,0
689,treatment,3,0,0,0
690,treatment,0,0,0,0
691,treatment,2,0,0,0
692,treatment,0,0,0,0
693,treatment,2,0,0,0
694,treatment,2,0,0,0
695,treatment,3,0,0,0
696,treatment,0,0,0,0
697,treatment,3,0,0,0
698,treatment,0,0,0,0
699,treatment,3,0,0,0
700,treatment,0,0,0,0
701,treatment,3,0,0,0
702,treatment,0,0,0,0
703,treatment,1,0,0,0
704,treatment,0,0,0,0
705,treatment,0,0,0,0
706,control,3,0,0,0
707,treatment,2,2,2,0
708,treatment,2,0,0,0
709,control,3,0,0,0
710,control,0,0,0,0
711,control,0,0,0,0
712,treatment,3,0,0,0
713,treatment,3,0,0,0
714,treatment,0,0,0,0
715,treatment,0,0,0,0
716,treatment,3,0,0,0
717,treatment,3,0,0,0
718,control,0,0,0,0
719,treatment,0,0,0,0
720,treatment,0,0,0,0
721,control,0,0,0,0
722,treatment,3,0,0,0
723,treatment,0,0,0,0
724,treatment,1,0,0,0
725,treatment,5,0,0,0
726,treatment,0,0,0,0
727,treatment,3,2,0,0
728,control,0,0,0,0
729,treatment,3,0,0,0
730,treatment,3,0,0,0
731,treatment,2,1,0,0
732,treatment,0,0,0,0
733,treatment,3,0,0,0
734,treatment,2,0,0,0
735,treatment,1,0,0,0
736,treatment,3,3,0,0
737,treatment,3,1,0,0
738,treatment,3,0,0,0
739,treatment,2,2,0,0
740,treatment,3,0,0,0
741,treatment,2,0,0,0
742,control,0,0,0,0
743,control,0,0,0,0
744,treatment,0,0,0,0
745,treatment,3,0,0,0
746,treatment,2,1,0,0
747,treatment,3,0,0,0
748,treatment,2,0,0,0
749,control,3,0,0,0
750,treatment,3,0,0,0
751,treatment,3,0,0,0
752,treatment,2,0,0,0
753,treatment,1,0,0,0
754,treatment,3,0,0,0
755,treatment,0,0,0,0
756,treatment,0,0,0,0
757,control,2,0,0,0
758,treatment,2,0,0,0
759,treatment,0,0,0,0
760,treatment,0,0,0,0
761,control,3,0,0,0
762,treatment,3,1,0,0
763,treatment,0,0,0,0
764,treatment,0,0,0,0
765,treatment,3,0,0,0
766,treatment,3,0,0,0
767,treatment,0,0,0,0
768,treatment,3,0,0,0
769,treatment,2,0,0,0
770,treatment,1,0,0,0
771,treatment,0,0,0,0
772,treatment,3,3,0,0
773,treatment,3,0,0,0
774,treatment,3,2,0,0
775,control,3,0,0,0
776,treatment,0,0,0,0
777,treatment,3,0,0,0
778,treatment,3,0,0,0
779,treatment,1,0,0,0
780,treatment,1,0,0,0
781,treatment,0,0,0,0
782,treatment,3,0,0,0
783,treatment,0,0,0,0
784,treatment,3,0,0,0
785,treatment,1,0,0,0
786,treatment,2,1,0,0
787,treatment,2,1,0,0
788,treatment,2,0,0,0
789,treatment,4,4,1,0
790,treatment,0,0,0,0
791,treatment,2,0,0,0
792,treatment,0,0,0,0
793,treatment,3,0,0,0
794,treatment,3,0,0,0
795,treatment,1,0,0,0
796,treatment,3,0,0,0
797,treatment,3,0,0,0
798,treatment,3,0,0,0
799,treatment,3,0,0,0
800,treatment,0,0,0,0
801,treatment,2,0,0,0
802,treatment,3,0,0,0
803,treatment,3,0,0,0
804,treatment,0,0,0,0
805,treatment,1,0,0,0
806,treatment,3,0,0,0
807,treatment,2,0,0,0
808,treatment,0,0,0,0
809,treatment,3,0,0,0
810,treatment,3,0,0,0
811,treatment,0,0,0,0
812,treatment,0,0,0,0
813,control,0,0,0,0
814,treatment,1,0,0,0
815,treatment,1,0,0,0
816,treatment,0,0,0,0
817,treatment,0,0,0,0
818,treatment,0,0,0,0
819,treatment,1,0,0,0
820,treatment,3,0,0,0
821,treatment,0,0,0,0
822,treatment,2,0,0,0
823,treatment,3,0,0,0
824,treatment,2,0,0,0
825,treatment,3,0,0,0
826,treatment,3,0,0,0
827,treatment,0,0,0,0
828,treatment,1,0,0,0
829,treatment,0,0,0,0
830,treatment,3,0,0,0
831,treatment,3,0,0,0
832,treatment,0,0,0,0
833,treatment,3,0,0,0
834,treatment,0,0,0,0
835,treatment,3,0,0,0
836,control,3,0,0,0
837,treatment,3,0,0,0
838,treatment,0,0,0,0
839,treatment,3,2,0,0
840,treatment,2,2,0,0
841,treatment,2,2,0,0
842,treatment,3,0,0,0
843,treatment,0,0,0,0
844,treatment,2,0,0,0
845,treatment,3,0,0,0
846,treatment,3,0,0,0
847,treatment,3,0,0,0
848,control,3,0,0,0
849,treatment,3,0,0,0
850,treatment,0,0,0,0
851,treatment,0,0,0,0
852,treatment,3,2,0,171.99
853,treatment,3,0,0,0
854,treatment,3,0,0,0
855,treatment,3,1,0,0
856,treatment,3,0,0,0
857,control,3,0,0,0
858,treatment,3,0,0,0
859,treatment,0,0,0,0
860,treatment,2,2,1,0
861,treatment,1,0,0,0
862,treatment,0,0,0,0
863,treatment,3,0,0,0
864,treatment,3,0,0,0
865,treatment,0,0,0,0
866,treatment,2,0,0,0
867,treatment,0,0,0,0
868,control,0,0,0,0
869,control,0,0,0,0
870,treatment,0,0,0,0
871,treatment,3,0,0,0
872,treatment,3,0,0,0
873,treatment,3,1,0,0
874,control,3,0,0,0
875,treatment,2,2,0,0
876,treatment,2,2,0,0
877,treatment,1,0,0,0
878,treatment,2,0,0,0
879,treatment,1,0,0,0
880,treatment,2,0,0,0
881,treatment,2,2,0,0
882,treatment,3,0,0,0
883,treatment,0,0,0,0
884,treatment,3,0,0,0
885,treatment,0,0,0,0
886,treatment,3,0,0,0
887,treatment,2,0,0,0
888,treatment,0,0,0,0
889,treatment,3,0,0,0
890,treatment,0,0,0,0
891,treatment,2,0,0,0
892,treatment,0,0,0,0
893,treatment,2,0,0,0
894,treatment,3,0,0,0
895,treatment,3,3,2,0
896,treatment,0,0,0,0
897,control,3,0,0,0
898,treatment,3,0,0,0
899,treatment,3,0,0,0
900,treatment,0,0,0,0
901,treatment,3,0,0,0
902,treatment,3,0,0,0
903,treatment,3,0,0,0
904,treatment,3,1,0,0
905,treatment,3,0,0,0
906,control,3,0,0,0
907,treatment,0,0,0,0
908,treatment,2,0,0,0
909,treatment,0,0,0,0
910,treatment,0,0,0,0
911,treatment,3,0,0,0
912,treatment,1,0,0,0
913,control,2,2,0,0
914,treatment,3,1,0,71.99
915,treatment,0,0,0,0
916,treatment,3,0,0,0
917,treatment,3,0,0,0
918,treatment,3,1,0,0
919,treatment,1,0,0,0
920,treatment,3,0,0,0
921,control,2,0,0,0
922,treatment,0,0,0,0
923,treatment,2,2,0,0
924,treatment,2,0,0,0
925,treatment,3,0,0,0
926,treatment,3,0,0,0
927,control,3,0,0,0
928,treatment,4,1,0,172.94
929,treatment,3,2,0,0
930,treatment,3,0,0,0
931,treatment,1,0,0,0
932,treatment,2,2,1,20
933,treatment,3,1,0,0
934,treatment,0,0,0,0
935,treatment,0,0,0,0
936,treatment,3,0,0,0
937,control,0,0,0,0
938,treatment,3,1,0,0
939,treatment,4,0,0,0
940,treatment,3,1,0,0
941,treatment,0,0,0,0
942,treatment,3,0,0,0
943,control,0,0,0,0
944,control,0,0,0,0
945,treatment,0,0,0,0
946,treatment,3,0,0,0
947,treatment,3,0,0,0
948,treatment,1,0,0,0
949,treatment,0,0,0,0
950,treatment,2,0,0,0
951,control,0,0,0,0
952,treatment,3,0,0,0
953,treatment,1,0,0,0
954,treatment,3,0,0,0
955,treatment,3,0,0,0
956,treatment,0,0,0,0
957,treatment,0,0,0,0
958,treatment,3,0,0,0
959,treatment,3,0,0,0
960,treatment,3,0,0,0
961,treatment,0,0,0,0
962,treatment,0,0,0,0
963,treatment,0,0,0,0
964,treatment,3,0,0,0
965,treatment,3,1,0,0
966,treatment,3,0,0,0
967,treatment,6,1,1,0
968,treatment,3,1,0,0
969,treatment,2,1,0,0
970,control,3,0,0,0
971,treatment,3,2,0,0
972,treatment,2,0,0,0
973,treatment,4,0,0,0
974,treatment,2,0,0,0
975,treatment,2,0,0,0
976,treatment,0,0,0,0
977,treatment,3,0,0,0
978,treatment,0,0,0,0
979,treatment,0,0,0,0
980,treatment,3,0,0,0
981,treatment,1,0,0,0
982,treatment,3,0,0,0
983,treatment,3,0,0,0
984,treatment,3,0,0,0
985,treatment,3,0,0,0
986,treatment,0,0,0,0
987,treatment,3,1,0,0
988,treatment,0,0,0,0
989,treatment,2,1,0,0
990,treatment,0,0,0,0
991,treatment,3,0,0,0
992,control,0,0,0,0
993,treatment,3,0,0,0
994,treatment,4,0,0,0
995,treatment,0,0,0,0
996,treatment,1,0,0,0
997,treatment,2,2,0,0
998,treatment,3,0,0,0
999,treatment,2,2,0,0
1000,treatment,0,0,0,0
1001,treatment,1,0,0,0
1002,treatment,3,1,0,0
1003,treatment,0,0,0,0
1004,treatment,2,0,0,0
1005,treatment,2,2,0,0
1006,treatment,0,0,0,0
1007,treatment,2,0,0,0
1008,treatment,0,0,0,0
1009,treatment,3,0,0,0
