count,season_1,season_2,season_3,season_4,workingday,holiday,hour,weather_1,weather_2,weather_3,weather_4,temp,atemp,humidity,windspeed
75,TRUE,FALSE,FALSE,FALSE,0,0,13,FALSE,TRUE,FALSE,FALSE,14.76,17.425,66,8.9981
59,TRUE,FALSE,FALSE,FALSE,0,0,14,FALSE,FALSE,TRUE,FALSE,14.76,17.425,76,12.998
74,TRUE,FALSE,FALSE,FALSE,0,0,15,FALSE,FALSE,TRUE,FALSE,13.94,16.665,81,11.0014
76,TRUE,FALSE,FALSE,FALSE,0,0,16,FALSE,FALSE,TRUE,FALSE,13.94,16.665,71,11.0014
65,TRUE,FALSE,FALSE,FALSE,0,0,17,TRUE,FALSE,FALSE,FALSE,13.94,16.665,57,12.998
53,TRUE,FALSE,FALSE,FALSE,0,0,18,FALSE,TRUE,FALSE,FALSE,14.76,16.665,46,22.0028
30,TRUE,FALSE,FALSE,FALSE,0,0,19,TRUE,FALSE,FALSE,FALSE,13.12,14.395,42,30.0026
22,TRUE,FALSE,FALSE,FALSE,0,0,20,TRUE,FALSE,FALSE,FALSE,12.3,13.635,39,23.9994
31,TRUE,FALSE,FALSE,FALSE,0,0,21,TRUE,FALSE,FALSE,FALSE,10.66,11.365,44,22.0028
9,TRUE,FALSE,FALSE,FALSE,0,0,22,TRUE,FALSE,FALSE,FALSE,9.84,10.605,44,19.9995
8,TRUE,FALSE,FALSE,FALSE,0,0,23,TRUE,FALSE,FALSE,FALSE,9.02,11.365,47,11.0014
5,TRUE,FALSE,FALSE,FALSE,1,0,0,TRUE,FALSE,FALSE,FALSE,9.02,9.85,44,23.9994
2,TRUE,FALSE,FALSE,FALSE,1,0,1,TRUE,FALSE,FALSE,FALSE,8.2,8.335,44,27.9993
1,TRUE,FALSE,FALSE,FALSE,1,0,4,TRUE,FALSE,FALSE,FALSE,6.56,6.82,47,26.0027
3,TRUE,FALSE,FALSE,FALSE,1,0,5,TRUE,FALSE,FALSE,FALSE,6.56,6.82,47,19.0012
30,TRUE,FALSE,FALSE,FALSE,1,0,6,TRUE,FALSE,FALSE,FALSE,5.74,5.305,50,26.0027
64,TRUE,FALSE,FALSE,FALSE,1,0,7,TRUE,FALSE,FALSE,FALSE,5.74,6.82,50,12.998
154,TRUE,FALSE,FALSE,FALSE,1,0,8,TRUE,FALSE,FALSE,FALSE,5.74,6.06,50,19.0012
88,TRUE,FALSE,FALSE,FALSE,1,0,9,TRUE,FALSE,FALSE,FALSE,6.56,6.82,43,26.0027
44,TRUE,FALSE,FALSE,FALSE,1,0,10,TRUE,FALSE,FALSE,FALSE,7.38,8.335,43,16.9979
51,TRUE,FALSE,FALSE,FALSE,1,0,11,TRUE,FALSE,FALSE,FALSE,8.2,9.09,40,22.0028
61,TRUE,FALSE,FALSE,FALSE,1,0,12,TRUE,FALSE,FALSE,FALSE,9.02,10.605,35,19.9995
61,TRUE,FALSE,FALSE,FALSE,1,0,13,TRUE,FALSE,FALSE,FALSE,9.84,10.605,35,19.0012
77,TRUE,FALSE,FALSE,FALSE,1,0,14,TRUE,FALSE,FALSE,FALSE,10.66,12.12,30,19.0012
72,TRUE,FALSE,FALSE,FALSE,1,0,15,TRUE,FALSE,FALSE,FALSE,10.66,12.12,30,16.9979
76,TRUE,FALSE,FALSE,FALSE,1,0,16,TRUE,FALSE,FALSE,FALSE,10.66,12.12,30,16.9979
157,TRUE,FALSE,FALSE,FALSE,1,0,17,TRUE,FALSE,FALSE,FALSE,9.84,11.365,30,15.0013
157,TRUE,FALSE,FALSE,FALSE,1,0,18,TRUE,FALSE,FALSE,FALSE,9.84,12.88,32,7.0015
110,TRUE,FALSE,FALSE,FALSE,1,0,19,TRUE,FALSE,FALSE,FALSE,8.2,12.88,47,0
52,TRUE,FALSE,FALSE,FALSE,1,0,20,TRUE,FALSE,FALSE,FALSE,8.2,11.365,47,7.0015
52,TRUE,FALSE,FALSE,FALSE,1,0,21,TRUE,FALSE,FALSE,FALSE,7.38,9.85,64,8.9981
20,TRUE,FALSE,FALSE,FALSE,1,0,22,TRUE,FALSE,FALSE,FALSE,5.74,7.575,69,8.9981
12,TRUE,FALSE,FALSE,FALSE,1,0,23,TRUE,FALSE,FALSE,FALSE,7.38,10.605,55,7.0015
5,TRUE,FALSE,FALSE,FALSE,1,0,0,TRUE,FALSE,FALSE,FALSE,6.56,9.09,55,7.0015
2,TRUE,FALSE,FALSE,FALSE,1,0,1,TRUE,FALSE,FALSE,FALSE,6.56,9.09,59,7.0015
1,TRUE,FALSE,FALSE,FALSE,1,0,2,TRUE,FALSE,FALSE,FALSE,5.74,7.575,63,8.9981
2,TRUE,FALSE,FALSE,FALSE,1,0,4,TRUE,FALSE,FALSE,FALSE,5.74,9.09,63,6.0032
4,TRUE,FALSE,FALSE,FALSE,1,0,5,TRUE,FALSE,FALSE,FALSE,4.92,7.575,68,7.0015
36,TRUE,FALSE,FALSE,FALSE,1,0,6,TRUE,FALSE,FALSE,FALSE,4.92,7.575,74,7.0015
94,TRUE,FALSE,FALSE,FALSE,1,0,7,TRUE,FALSE,FALSE,FALSE,4.92,7.575,74,8.9981
179,TRUE,FALSE,FALSE,FALSE,1,0,8,TRUE,FALSE,FALSE,FALSE,5.74,7.575,69,11.0014
100,TRUE,FALSE,FALSE,FALSE,1,0,9,TRUE,FALSE,FALSE,FALSE,6.56,7.575,64,15.0013
42,TRUE,FALSE,FALSE,FALSE,1,0,10,FALSE,TRUE,FALSE,FALSE,6.56,6.82,69,22.0028
57,TRUE,FALSE,FALSE,FALSE,1,0,11,TRUE,FALSE,FALSE,FALSE,9.02,10.605,51,19.9995
78,TRUE,FALSE,FALSE,FALSE,1,0,12,TRUE,FALSE,FALSE,FALSE,9.02,11.365,51,11.0014
97,TRUE,FALSE,FALSE,FALSE,1,0,13,TRUE,FALSE,FALSE,FALSE,9.84,11.365,56,12.998
63,TRUE,FALSE,FALSE,FALSE,1,0,14,TRUE,FALSE,FALSE,FALSE,10.66,12.88,52,15.0013
65,TRUE,FALSE,FALSE,FALSE,1,0,15,TRUE,FALSE,FALSE,FALSE,11.48,13.635,52,16.9979
83,TRUE,FALSE,FALSE,FALSE,1,0,16,TRUE,FALSE,FALSE,FALSE,12.3,14.395,49,16.9979
212,TRUE,FALSE,FALSE,FALSE,1,0,17,TRUE,FALSE,FALSE,FALSE,11.48,13.635,48,15.0013
182,TRUE,FALSE,FALSE,FALSE,1,0,18,TRUE,FALSE,FALSE,FALSE,10.66,12.88,48,12.998
112,TRUE,FALSE,FALSE,FALSE,1,0,19,TRUE,FALSE,FALSE,FALSE,9.84,12.88,48,7.0015
54,TRUE,FALSE,FALSE,FALSE,1,0,20,TRUE,FALSE,FALSE,FALSE,9.84,12.88,48,7.0015
48,TRUE,FALSE,FALSE,FALSE,1,0,21,TRUE,FALSE,FALSE,FALSE,9.02,13.635,64,0
35,TRUE,FALSE,FALSE,FALSE,1,0,22,TRUE,FALSE,FALSE,FALSE,9.02,12.88,64,6.0032
11,TRUE,FALSE,FALSE,FALSE,1,0,23,TRUE,FALSE,FALSE,FALSE,8.2,11.365,69,6.0032
6,TRUE,FALSE,FALSE,FALSE,1,0,0,TRUE,FALSE,FALSE,FALSE,8.2,12.88,64,0
6,TRUE,FALSE,FALSE,FALSE,1,0,1,TRUE,FALSE,FALSE,FALSE,6.56,9.85,74,6.0032
2,TRUE,FALSE,FALSE,FALSE,1,0,2,TRUE,FALSE,FALSE,FALSE,6.56,9.85,74,6.0032
2,TRUE,FALSE,FALSE,FALSE,1,0,4,TRUE,FALSE,FALSE,FALSE,9.84,11.365,48,15.0013
3,TRUE,FALSE,FALSE,FALSE,1,0,5,TRUE,FALSE,FALSE,FALSE,9.02,11.365,47,11.0014
33,TRUE,FALSE,FALSE,FALSE,1,0,6,TRUE,FALSE,FALSE,FALSE,8.2,9.85,47,15.0013
88,TRUE,FALSE,FALSE,FALSE,1,0,7,TRUE,FALSE,FALSE,FALSE,7.38,9.09,43,12.998
195,TRUE,FALSE,FALSE,FALSE,1,0,8,TRUE,FALSE,FALSE,FALSE,8.2,9.09,40,19.9995
115,TRUE,FALSE,FALSE,FALSE,1,0,9,TRUE,FALSE,FALSE,FALSE,9.02,9.85,37,22.0028
57,TRUE,FALSE,FALSE,FALSE,1,0,10,TRUE,FALSE,FALSE,FALSE,9.02,9.85,37,22.0028
46,TRUE,FALSE,FALSE,FALSE,1,0,11,TRUE,FALSE,FALSE,FALSE,10.66,11.365,33,22.0028
79,TRUE,FALSE,FALSE,FALSE,1,0,12,TRUE,FALSE,FALSE,FALSE,10.66,11.365,33,22.0028
71,TRUE,FALSE,FALSE,FALSE,1,0,13,TRUE,FALSE,FALSE,FALSE,11.48,12.88,30,19.9995
62,TRUE,FALSE,FALSE,FALSE,1,0,14,TRUE,FALSE,FALSE,FALSE,12.3,14.395,28,12.998
62,TRUE,FALSE,FALSE,FALSE,1,0,15,TRUE,FALSE,FALSE,FALSE,12.3,14.395,28,12.998
89,TRUE,FALSE,FALSE,FALSE,1,0,16,TRUE,FALSE,FALSE,FALSE,12.3,15.91,28,6.0032
190,TRUE,FALSE,FALSE,FALSE,1,0,17,TRUE,FALSE,FALSE,FALSE,9.84,11.365,38,12.998
169,TRUE,FALSE,FALSE,FALSE,1,0,18,TRUE,FALSE,FALSE,FALSE,9.84,12.12,38,8.9981
132,TRUE,FALSE,FALSE,FALSE,1,0,19,TRUE,FALSE,FALSE,FALSE,9.84,12.88,38,7.0015
89,TRUE,FALSE,FALSE,FALSE,1,0,20,TRUE,FALSE,FALSE,FALSE,9.02,11.365,47,11.0014
43,TRUE,FALSE,FALSE,FALSE,1,0,21,TRUE,FALSE,FALSE,FALSE,8.2,9.85,51,12.998
42,TRUE,FALSE,FALSE,FALSE,1,0,22,TRUE,FALSE,FALSE,FALSE,7.38,9.85,55,8.9981
19,TRUE,FALSE,FALSE,FALSE,1,0,23,TRUE,FALSE,FALSE,FALSE,8.2,12.88,47,0
11,TRUE,FALSE,FALSE,FALSE,1,0,0,TRUE,FALSE,FALSE,FALSE,7.38,12.12,55,0
4,TRUE,FALSE,FALSE,FALSE,1,0,1,TRUE,FALSE,FALSE,FALSE,6.56,11.365,64,0
2,TRUE,FALSE,FALSE,FALSE,1,0,2,TRUE,FALSE,FALSE,FALSE,6.56,11.365,64,0
1,TRUE,FALSE,FALSE,FALSE,1,0,4,FALSE,TRUE,FALSE,FALSE,6.56,9.85,64,6.0032
4,TRUE,FALSE,FALSE,FALSE,1,0,5,FALSE,TRUE,FALSE,FALSE,5.74,9.09,69,6.0032
36,TRUE,FALSE,FALSE,FALSE,1,0,6,FALSE,TRUE,FALSE,FALSE,5.74,8.335,63,7.0015
95,TRUE,FALSE,FALSE,FALSE,1,0,7,FALSE,TRUE,FALSE,FALSE,6.56,11.365,59,0
219,TRUE,FALSE,FALSE,FALSE,1,0,8,TRUE,FALSE,FALSE,FALSE,6.56,11.365,59,0
122,TRUE,FALSE,FALSE,FALSE,1,0,9,FALSE,TRUE,FALSE,FALSE,7.38,12.12,51,0
45,TRUE,FALSE,FALSE,FALSE,1,0,10,TRUE,FALSE,FALSE,FALSE,8.2,12.88,47,0
59,TRUE,FALSE,FALSE,FALSE,1,0,11,TRUE,FALSE,FALSE,FALSE,9.02,12.88,44,6.0032
84,TRUE,FALSE,FALSE,FALSE,1,0,12,TRUE,FALSE,FALSE,FALSE,10.66,14.395,35,0
67,TRUE,FALSE,FALSE,FALSE,1,0,13,TRUE,FALSE,FALSE,FALSE,10.66,13.635,35,7.0015
70,TRUE,FALSE,FALSE,FALSE,1,0,14,TRUE,FALSE,FALSE,FALSE,11.48,13.635,36,11.0014
62,TRUE,FALSE,FALSE,FALSE,1,0,15,TRUE,FALSE,FALSE,FALSE,11.48,13.635,36,0
86,TRUE,FALSE,FALSE,FALSE,1,0,16,TRUE,FALSE,FALSE,FALSE,10.66,12.88,38,11.0014
172,TRUE,FALSE,FALSE,FALSE,1,0,17,TRUE,FALSE,FALSE,FALSE,9.02,11.365,51,11.0014
163,TRUE,FALSE,FALSE,FALSE,1,0,18,TRUE,FALSE,FALSE,FALSE,9.02,11.365,51,8.9981
112,TRUE,FALSE,FALSE,FALSE,1,0,19,TRUE,FALSE,FALSE,FALSE,9.02,12.88,55,6.0032
69,TRUE,FALSE,FALSE,FALSE,1,0,20,TRUE,FALSE,FALSE,FALSE,8.2,10.605,51,11.0014
48,TRUE,FALSE,FALSE,FALSE,1,0,21,FALSE,TRUE,FALSE,FALSE,9.02,10.605,55,15.0013
52,TRUE,FALSE,FALSE,FALSE,1,0,22,FALSE,TRUE,FALSE,FALSE,9.02,10.605,51,19.0012
23,TRUE,FALSE,FALSE,FALSE,1,0,23,FALSE,TRUE,FALSE,FALSE,8.2,9.85,59,12.998
17,TRUE,FALSE,FALSE,FALSE,1,0,0,FALSE,TRUE,FALSE,FALSE,8.2,9.85,64,12.998
7,TRUE,FALSE,FALSE,FALSE,1,0,1,FALSE,TRUE,FALSE,FALSE,8.2,9.85,69,15.0013
1,TRUE,FALSE,FALSE,FALSE,1,0,2,FALSE,TRUE,FALSE,FALSE,8.2,9.85,69,15.0013
1,TRUE,FALSE,FALSE,FALSE,1,0,4,FALSE,TRUE,FALSE,FALSE,8.2,10.605,69,8.9981
5,TRUE,FALSE,FALSE,FALSE,1,0,5,FALSE,FALSE,TRUE,FALSE,9.02,13.635,55,0
34,TRUE,FALSE,FALSE,FALSE,1,0,6,FALSE,TRUE,FALSE,FALSE,8.2,12.88,69,0
84,TRUE,FALSE,FALSE,FALSE,1,0,7,TRUE,FALSE,FALSE,FALSE,8.2,10.605,69,8.9981
210,TRUE,FALSE,FALSE,FALSE,1,0,8,TRUE,FALSE,FALSE,FALSE,8.2,9.85,51,16.9979
134,TRUE,FALSE,FALSE,FALSE,1,0,9,TRUE,FALSE,FALSE,FALSE,8.2,9.09,47,19.9995
63,TRUE,FALSE,FALSE,FALSE,1,0,10,TRUE,FALSE,FALSE,FALSE,9.02,9.85,37,22.0028
67,TRUE,FALSE,FALSE,FALSE,1,0,11,FALSE,TRUE,FALSE,FALSE,8.2,9.85,40,15.0013
59,TRUE,FALSE,FALSE,FALSE,1,0,12,FALSE,TRUE,FALSE,FALSE,8.2,9.85,37,16.9979
73,TRUE,FALSE,FALSE,FALSE,1,0,13,FALSE,TRUE,FALSE,FALSE,8.2,9.09,37,19.0012
50,TRUE,FALSE,FALSE,FALSE,1,0,14,FALSE,TRUE,FALSE,FALSE,8.2,9.85,40,16.9979
72,TRUE,FALSE,FALSE,FALSE,1,0,15,FALSE,TRUE,FALSE,FALSE,8.2,10.605,37,11.0014
87,TRUE,FALSE,FALSE,FALSE,1,0,16,FALSE,TRUE,FALSE,FALSE,8.2,10.605,37,11.0014
187,TRUE,FALSE,FALSE,FALSE,1,0,17,FALSE,TRUE,FALSE,FALSE,8.2,12.88,37,0
123,TRUE,FALSE,FALSE,FALSE,1,0,18,TRUE,FALSE,FALSE,FALSE,8.2,11.365,40,6.0032
95,TRUE,FALSE,FALSE,FALSE,1,0,19,TRUE,FALSE,FALSE,FALSE,6.56,9.85,55,6.0032
51,TRUE,FALSE,FALSE,FALSE,1,0,20,TRUE,FALSE,FALSE,FALSE,7.38,10.605,47,7.0015
39,TRUE,FALSE,FALSE,FALSE,1,0,21,TRUE,FALSE,FALSE,FALSE,7.38,9.85,47,8.9981
36,TRUE,FALSE,FALSE,FALSE,1,0,22,FALSE,TRUE,FALSE,FALSE,7.38,9.85,43,11.0014
15,TRUE,FALSE,FALSE,FALSE,1,0,23,FALSE,TRUE,FALSE,FALSE,7.38,9.85,51,11.0014
25,TRUE,FALSE,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,FALSE,7.38,9.85,51,11.0014
16,TRUE,FALSE,FALSE,FALSE,0,0,1,FALSE,TRUE,FALSE,FALSE,7.38,10.605,55,6.0032
16,TRUE,FALSE,FALSE,FALSE,0,0,2,FALSE,TRUE,FALSE,FALSE,7.38,12.12,55,0
7,TRUE,FALSE,FALSE,FALSE,0,0,3,FALSE,FALSE,TRUE,FALSE,7.38,9.85,55,11.0014
1,TRUE,FALSE,FALSE,FALSE,0,0,4,FALSE,FALSE,TRUE,FALSE,7.38,9.85,55,11.0014
5,TRUE,FALSE,FALSE,FALSE,0,0,5,FALSE,TRUE,FALSE,FALSE,6.56,8.335,74,11.0014
2,TRUE,FALSE,FALSE,FALSE,0,0,6,FALSE,TRUE,FALSE,FALSE,6.56,8.335,74,11.0014
9,TRUE,FALSE,FALSE,FALSE,0,0,7,FALSE,TRUE,FALSE,FALSE,6.56,9.09,74,7.0015
15,TRUE,FALSE,FALSE,FALSE,0,0,8,FALSE,FALSE,TRUE,FALSE,6.56,9.09,93,7.0015
20,TRUE,FALSE,FALSE,FALSE,0,0,9,FALSE,FALSE,TRUE,FALSE,6.56,9.09,93,7.0015
61,TRUE,FALSE,FALSE,FALSE,0,0,10,FALSE,TRUE,FALSE,FALSE,7.38,9.85,80,11.0014
62,TRUE,FALSE,FALSE,FALSE,0,0,11,FALSE,TRUE,FALSE,FALSE,8.2,9.09,69,26.0027
98,TRUE,FALSE,FALSE,FALSE,0,0,12,FALSE,TRUE,FALSE,FALSE,8.2,9.09,59,23.9994
102,TRUE,FALSE,FALSE,FALSE,0,0,13,TRUE,FALSE,FALSE,FALSE,8.2,9.09,44,22.0028
95,TRUE,FALSE,FALSE,FALSE,0,0,14,TRUE,FALSE,FALSE,FALSE,8.2,8.335,32,32.9975
74,TRUE,FALSE,FALSE,FALSE,0,0,15,TRUE,FALSE,FALSE,FALSE,8.2,8.335,32,30.0026
76,TRUE,FALSE,FALSE,FALSE,0,0,16,TRUE,FALSE,FALSE,FALSE,7.38,6.82,29,30.0026
69,TRUE,FALSE,FALSE,FALSE,0,0,17,TRUE,FALSE,FALSE,FALSE,6.56,6.06,37,36.9974
55,TRUE,FALSE,FALSE,FALSE,0,0,18,TRUE,FALSE,FALSE,FALSE,5.74,6.06,39,19.9995
30,TRUE,FALSE,FALSE,FALSE,0,0,19,TRUE,FALSE,FALSE,FALSE,5.74,6.06,36,16.9979
28,TRUE,FALSE,FALSE,FALSE,0,0,20,TRUE,FALSE,FALSE,FALSE,4.92,6.06,36,16.9979
37,TRUE,FALSE,FALSE,FALSE,0,0,21,TRUE,FALSE,FALSE,FALSE,4.92,5.305,39,23.9994
34,TRUE,FALSE,FALSE,FALSE,0,0,22,TRUE,FALSE,FALSE,FALSE,4.92,5.305,36,26.0027
22,TRUE,FALSE,FALSE,FALSE,0,0,23,TRUE,FALSE,FALSE,FALSE,4.1,3.03,39,30.0026
25,TRUE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,FALSE,4.1,3.79,42,26.0027
12,TRUE,FALSE,FALSE,FALSE,0,0,1,TRUE,FALSE,FALSE,FALSE,4.1,3.03,42,31.0009
11,TRUE,FALSE,FALSE,FALSE,0,0,2,TRUE,FALSE,FALSE,FALSE,4.1,3.03,46,31.0009
4,TRUE,FALSE,FALSE,FALSE,0,0,3,TRUE,FALSE,FALSE,FALSE,4.1,3.79,46,27.9993
1,TRUE,FALSE,FALSE,FALSE,0,0,4,TRUE,FALSE,FALSE,FALSE,3.28,4.545,53,12.998
1,TRUE,FALSE,FALSE,FALSE,0,0,5,TRUE,FALSE,FALSE,FALSE,3.28,4.545,53,12.998
1,TRUE,FALSE,FALSE,FALSE,0,0,6,TRUE,FALSE,FALSE,FALSE,4.1,4.545,49,19.0012
6,TRUE,FALSE,FALSE,FALSE,0,0,7,TRUE,FALSE,FALSE,FALSE,3.28,4.545,53,12.998
10,TRUE,FALSE,FALSE,FALSE,0,0,8,TRUE,FALSE,FALSE,FALSE,4.1,4.545,49,19.0012
19,TRUE,FALSE,FALSE,FALSE,0,0,9,TRUE,FALSE,FALSE,FALSE,4.92,3.79,46,35.0008
49,TRUE,FALSE,FALSE,FALSE,0,0,10,TRUE,FALSE,FALSE,FALSE,5.74,5.305,43,26.0027
49,TRUE,FALSE,FALSE,FALSE,0,0,11,TRUE,FALSE,FALSE,FALSE,6.56,6.06,40,35.0008
83,TRUE,FALSE,FALSE,FALSE,0,0,12,TRUE,FALSE,FALSE,FALSE,7.38,6.82,37,30.0026
75,TRUE,FALSE,FALSE,FALSE,0,0,13,TRUE,FALSE,FALSE,FALSE,8.2,8.335,34,30.0026
72,TRUE,FALSE,FALSE,FALSE,0,0,14,TRUE,FALSE,FALSE,FALSE,9.02,9.09,32,31.0009
82,TRUE,FALSE,FALSE,FALSE,0,0,15,TRUE,FALSE,FALSE,FALSE,9.02,9.85,35,23.9994
92,TRUE,FALSE,FALSE,FALSE,0,0,16,TRUE,FALSE,FALSE,FALSE,8.2,8.335,34,30.0026
62,TRUE,FALSE,FALSE,FALSE,0,0,17,TRUE,FALSE,FALSE,FALSE,7.38,7.575,37,26.0027
48,TRUE,FALSE,FALSE,FALSE,0,0,18,TRUE,FALSE,FALSE,FALSE,6.56,6.82,40,22.0028
41,TRUE,FALSE,FALSE,FALSE,0,0,19,TRUE,FALSE,FALSE,FALSE,6.56,6.82,43,22.0028
38,TRUE,FALSE,FALSE,FALSE,0,0,20,TRUE,FALSE,FALSE,FALSE,5.74,6.06,46,16.9979
20,TRUE,FALSE,FALSE,FALSE,0,0,21,TRUE,FALSE,FALSE,FALSE,5.74,5.305,46,27.9993
15,TRUE,FALSE,FALSE,FALSE,0,0,22,TRUE,FALSE,FALSE,FALSE,5.74,6.06,46,19.9995
6,TRUE,FALSE,FALSE,FALSE,0,0,23,TRUE,FALSE,FALSE,FALSE,4.92,6.82,50,12.998
5,TRUE,FALSE,FALSE,FALSE,1,0,0,TRUE,FALSE,FALSE,FALSE,4.92,6.06,50,19.0012
1,TRUE,FALSE,FALSE,FALSE,1,0,1,TRUE,FALSE,FALSE,FALSE,4.92,6.06,50,19.0012
3,TRUE,FALSE,FALSE,FALSE,1,0,2,TRUE,FALSE,FALSE,FALSE,4.92,6.06,50,15.0013
1,TRUE,FALSE,FALSE,FALSE,1,0,3,TRUE,FALSE,FALSE,FALSE,4.92,6.06,50,15.0013
3,TRUE,FALSE,FALSE,FALSE,1,0,4,TRUE,FALSE,FALSE,FALSE,4.1,6.06,54,8.9981
3,TRUE,FALSE,FALSE,FALSE,1,0,5,TRUE,FALSE,FALSE,FALSE,4.1,5.305,54,16.9979
31,TRUE,FALSE,FALSE,FALSE,1,0,6,TRUE,FALSE,FALSE,FALSE,4.92,6.06,50,19.0012
77,TRUE,FALSE,FALSE,FALSE,1,0,7,TRUE,FALSE,FALSE,FALSE,4.92,6.06,50,15.0013
188,TRUE,FALSE,FALSE,FALSE,1,0,8,FALSE,TRUE,FALSE,FALSE,4.92,6.06,50,19.0012
94,TRUE,FALSE,FALSE,FALSE,1,0,9,FALSE,TRUE,FALSE,FALSE,5.74,6.06,50,16.9979
31,TRUE,FALSE,FALSE,FALSE,1,0,10,FALSE,TRUE,FALSE,FALSE,5.74,6.06,50,19.9995
30,TRUE,FALSE,FALSE,FALSE,1,0,11,FALSE,TRUE,FALSE,FALSE,6.56,6.82,47,19.0012
