Hirdetéskod,Cím,Leírás,URL,Vételár,Egyéb költségek,Fizetendő magyarországi forgalomba helyezés esetén,Okmányok jellege,Szín,Állapot,Műszaki vizsga érvényes,Helyszín,Évjárat,Kilométeróra állása,Üzemanyag,Hajtás,Hengerűrtartalom,Teljesítmény,Sebességváltó fajtája,Klíma fajtája,Téli gumi méret,Nyári gumi méret,Saját tömeg,Felszereltség,Kivitel
14690259,OPEL ASTRA H H 1.4. MO-i. klíma,"manuális klíma nem dohányzó tulaj után, keveset futott kilométer számmal, alacsony fogyasztás, megbízható motor, a jármű újonnan Magyarországon márkakereskedésben lett vásárolva,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk a fóti Auchan mellet található",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_4_mo-i_klima-14690259,1000000,"","",Érvényes magyar okmányokkal,Szürke,Normál,"",,2005,138570,Benzin,Első kerék,1 364 cm³,90,Manuális (5 fokozatú) sebességváltó,Manuális klíma,"","","","multifunkciós kormánykerék, elektromos ablak elöl, elektromos tükör, szervokormány, rádió",Ferdehátú
14804824,OPEL ASTRA H 1.9 CDTI GTC Sport Full extra,"OPEL ASTRA GTC 1.9 D ELADÓ! VÉGIG SZERVIZELT VEZÉRLÉSBEN KB 20 EZER KM VAN! LÉTEZŐ ÖSSZES EXTRA FELSZERELTSÉG: DIGITÁLIS KLÍMA, KANYARKÖVETŐ BI XENON FÉNYSZÓRÓ, SZÍNES NAGY NAVIGÁCIÓ KÖZPONTI AJTÓZÁR, MULTIKORMÁNY, ÜLÉSFŰTÉS, STB.",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_1_9_cdti_gtc_sport_full_extra-14804824,1099000,"","",Érvényes magyar okmányokkal,Fekete,Normál,2021/8,,2007,324000,Dízel,Első kerék,1 910 cm³,150,Manuális (6 fokozatú) sebességváltó,Digitális klíma,"",205/55 R 16,1 210 kg,"állítható hátsó ülések, bőr belső, dönthető utasülések, full extra, fűthető ülés, ülésmagasság állítás, automatikusan sötétedő belső tükör, multifunkciós kormánykerék, deréktámasz, függönylégzsák, hátsó oldal légzsák, ISOFIX rendszer, utasoldali légzsák, vezetőoldali légzsák, térdlégzsák, hátsó fejtámlák, állítható kormány, fedélzeti komputer, tolatóradar, ABS (blokkolásgátló), indításgátló (immobiliser), centrálzár, szervokormány, pótkerék, ködlámpa, xenon fényszóró, kanyarkövető fényszóró, bi-xenon fényszóró, fényszóró magasságállítás, elektromos ablak elöl, elektromos tükör, fűthető tükör, könnyűfém felni, színezett üveg, CD-s autórádió, GPS (navigáció), 6 hangszóró",Ferdehátú
14816446,OPEL ASTRA H H 1.7 CDTI. szervízkönyv. klíma,"könnyűfém felnik Az autóhoz teljes kulcs szett, teljes irat állomány, alacsony fogyasztás, megbízható motor,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk a fóti Auchan mellet található",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_7_cdti_szervizkonyv_klima-14816446,1100000,"","",Érvényes magyar okmányokkal,Szürke,Normál,"",,2005,165112,Dízel,Első kerék,1 686 cm³,80,Manuális (5 fokozatú) sebességváltó,Automata klíma,"","","","multifunkciós kormánykerék, fedélzeti komputer, elektromos ablak elöl, elektromos tükör, könnyűfém felni, vonóhorog, szervokormány, rádió",Ferdehátú
14807633,OPEL ASTRA H H 1.4. klíma. digitklíma,"tempomat nem dohányzó tulaj után, alacsony fogyasztás, megbízható motor,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk a fóti Auchan mellet található",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_4_klima_digitklima-14807633,1100000,"","",Érvényes magyar okmányokkal,Szürke,Normál,"",,2006,139915,Benzin,Első kerék,1 364 cm³,90,Manuális (5 fokozatú) sebességváltó,Automata klíma,"","","","elektromos ablak elöl, elektromos tükör, vonóhorog, fedélzeti komputer, szervokormány, tempomat, rádió",Kombi
14807005,OPEL ASTRA H 1.6 GTC Cosmo,"Napi használatból eladóvá vált, családi okok miatt! Kereskedők NE jelentkezzenek. Magánszemélynek adom csak el. Hivatalos nyomtatott több példányos Adásvételi papírral! Céges bélyegzővel ne is keress! Az Ár irányár, Megtekinthető előre megbeszélt helyen! Nincs mit rejtegetni használt autóról van szó! Telefonon ne kezdjünk el alkudozni anélkül, hogy megnézte volna a gépkocsit! Nem kenyérre kell a pénz, és nem mindenáron eladó, mert nem megszabadulni akarok tőle. Az alufelni nyári gumival (tavalyi - pár ezer kilométert futott) nem tartozék az árban nincs benne, de alkuképes!",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_1_6_gtc_cosmo-14807005,1150000,"","",Érvényes magyar okmányokkal,Piros,Normál,2020/11,,2005,184000,Benzin,Első kerék,1 598 cm³,105,Manuális (5 fokozatú) sebességváltó,Manuális klíma,205/55 R 16,225/45 R 17,1 170 kg,"dönthető utasülések, plüss kárpit, ülésmagasság állítás, deréktámasz, függönylégzsák, hátsó oldal légzsák, oldallégzsák, utasoldali légzsák, vezetőoldali légzsák, állítható kormány, fedélzeti komputer, pótkerék, fényszóró magasságállítás, elektromos ablak elöl, fűthető tükör, könnyűfém felni, ABS (blokkolásgátló), ESP (menetstabilizátor), centrálzár, riasztó, tempomat, CD-s autórádió, MP3 lejátszás, 4 hangszóró",Ferdehátú
14588425,OPEL ASTRA H H 1.4. MO-i. 1 tulaj. klíma,"első tulajdonos után, manuális klíma nagyon jó állapot, garázsban tartott jármű, megbízható motor, a jármű újonnan Magyarországon márkakereskedésben lett vásárolva,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk a fóti Auchan mellet található",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_4_mo-i_1_tulaj_klima-14588425,1150000,"","",Érvényes magyar okmányokkal,Aranysárga,Normál,"",,2005,168913,Benzin,Első kerék,1 364 cm³,90,Manuális (5 fokozatú) sebességváltó,Manuális klíma,"","","","elektromos ablak elöl, elektromos tükör, fedélzeti komputer, szervokormány, rádió",Ferdehátú
14838328,OPEL ASTRA H 1.6 Enjoy TEMPOMAT.SZ.KÖNYV,"MEGKÍMÉLT SZÉP ÁLLAPOT! KITŰNŐ MOTOR-VÁLTÓ-FÉK-FUTÓMŰ! LEINFORMÁLHATÓ SZERVIZ MÚLT-VALÓS KILOMÉTER FUTÁS ERŐS FÜSTMENTES KIS FOGYASZTÁSÚ MOTOR! KOPÁS-SZAKADÁS DOHÁNYFÜSTMENTES BELSŐTÉR! ÖSSZES GYÁRI KULCS! EXTRÁK: 2x ELEKTROMOS ABLAK, KLÍMA, CD-S AUTÓRÁDIÓ, TEMPOMAT, ABS, ELEKTROMOS TÜKÖR ÉS MÉG SOK! ABSZOLÚT HIBAKÓD ÉS KÖLTSÉGMEWNTES ÁLLAPOTBAN ELADÓ! BÁRMIKOR MEGTEKINTHETŐ-KIPRÓBÁLHATÓ ELŐZETES IDŐPONT EGYEZTETÉSSEL!",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_1_6_enjoy_tempomat_sz_konyv-14838328,1185000,"","",Érvényes magyar okmányokkal,"",Megkímélt,2021/9,,2006,161000,Benzin,Első kerék,1 598 cm³,105,Manuális (5 fokozatú) sebességváltó,Manuális klíma,"",195/65 R 15,1 190 kg,"dönthető utasülések, ülésmagasság állítás, kikapcsolható légzsák, oldallégzsák, utasoldali légzsák, vezetőoldali légzsák, állítható kormány, pótkerék, elektromos ablak elöl, elektromos tükör, ABS (blokkolásgátló), centrálzár, szervokormány, tempomat, CD-s autórádió, kihangosító, bluetooth-os kihangosító, 6 hangszóró",Ferdehátú
14827626,OPEL ASTRA H 1.4 Enjoy 117000 KM! KLIMA! FRISS VIZSGA! SZERVIZKÖNYV!,"Eladó Opel Astra 1.4i Edition benzines személyautó 117000 KM -rel! Az autó rendszeresen szervizelt és karbantartott. Megvan a vezetett szervizkönyve és a korábbi műszaki vizsgák, illetve javítási dokumentumok is. KM futása garantált! Ezt az adásvételi szerződésben is rögzítem. Mindkét gyári kulcsa megvan. Törésmentes. Klímája tökéletes. Megkímélt belső tere van. Téli, nyári kerékszett külön alku tárgyát képezi. További kérdésekkel kapcsolatban hívjon bizalommal. Kérem tekintse meg a Dokumentumok fül alatt található képeket is.",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_1_4_enjoy_117000_km_klima_friss_vizsga_szervizkonyv-14827626,1190000,"","",Érvényes magyar okmányokkal,Fekete,Kitűnő,2021/9,,2007,117800,Benzin,Első kerék,1 364 cm³,90,Manuális (5 fokozatú) sebességváltó,Manuális klíma,"",195/65 R 15,1 155 kg,"állítható hátsó ülések, dönthető utasülések, ülésmagasság állítás, ISOFIX rendszer, kikapcsolható légzsák, oldallégzsák, utasoldali légzsák, vezetőoldali légzsák, hátsó fejtámlák, állítható kormány, pótkerék, ködlámpa, fényszóró magasságállítás, elektromos ablak elöl, elektromos tükör, fűthető tükör, ABS (blokkolásgátló), indításgátló (immobiliser), centrálzár, szervokormány, rádió, CD-s autórádió, 6 hangszóró, HIFI",Ferdehátú
13523138,OPEL ASTRA H 1.8 Optima,"TEMPOMAT, FŰTHETŐ ÜLÉS, ESŐSZENZOR. TOVÁBBI AUTÓINK MEGTEKINTHETŐK: JÁRMŰVEINK UGYANITT MENÜPONT ALATT. KEDVEZŐ FINANSZÍROZÁSBAN SEGÍTSÉGET TUDUNK NYÚJTANI. KERESKEDÉSÜNKBEN TELJES KÖRŰ ÜGYINTÉZÉSSEL ÁTÍRÁS, BIZTOSÍTÁSKÖTÉS, EREDETVIZSGA ÁLLUNK RENDELKEZÉSÜKRE. SZOLGÁLTATÁSAINK: - HASZNÁLT GÉPJÁRMŰ ÉRTÉKESÍTÉS, - AUTÓ BÉRBEADÁS, HASZNÁLTAUTÓ BESZÁMÍTÁS TÍPUSTÓL, KORTÓL FÜGGETLENÜL, - KÉSZPÉNZES AUTÓFELVÁSÁRLÁS, - MŰSZAKI VIZSGÁZTATÁS, - EREDETVIZSGA, - KÜLFÖLDI GÉPJÁRMŰ FORGALOMBA HELYEZÉS, GÉPJÁRMŰ BESZERZÉS AKÁR KÜLFÖLDRŐL IS.",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_1_8_optima-13523138,1190000,"","",Érvényes magyar okmányokkal,Szürke,Normál,2020/8,,2004,212311,Benzin,Első kerék,1 796 cm³,125,Manuális (5 fokozatú) sebességváltó,Manuális klíma,"",195/65 R 15,1 210 kg,"fűthető ülés, ülésmagasság állítás, függönylégzsák, hátsó oldal légzsák, oldallégzsák, utasoldali légzsák, vezetőoldali légzsák, hátsó fejtámlák, állítható kormány, pótkerék, esőszenzor, fényszóró magasságállítás, fényszórómosó, elektromos ablak elöl, elektromos tükör, könnyűfém felni, színezett üveg, ABS (blokkolásgátló), indításgátló (immobiliser), centrálzár, riasztó, szervokormány, tempomat, CD-s autórádió, 4 hangszóró",Kombi
14746456,OPEL ASTRA H H 1.4. MO-i. klíma. alufelni,"manuális klíma, könnyűfém felnik nem dohányzó tulaj után, keveset futott kilométer számmal, alacsony fogyasztás, megbízható motor, a jármű újonnan Magyarországon márkakereskedésben lett vásárolva,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk a fóti Auchan mellet található",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_4_mo-i_klima_alufelni-14746456,1200000,"","",Érvényes magyar okmányokkal,Fehér,Normál,"",,2006,131658,Benzin,Első kerék,1 364 cm³,90,Manuális (5 fokozatú) sebességváltó,Manuális klíma,"","","","multifunkciós kormánykerék, elektromos ablak elöl, elektromos tükör, könnyűfém felni, szervokormány, rádió, bluetooth-os kihangosító",Ferdehátú
14680240,OPEL ASTRA H H 1.6 16V. MO-i. klíma,"automata klíma, könnyűfém felnik nem dohányzó tulaj után, alacsony fogyasztás, megbízható motor, a jármű újonnan Magyarországon márkakereskedésben lett vásárolva,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk a fóti Auchan mellet található",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_6_16v_mo-i_klima-14680240,1200000,"","",Érvényes magyar okmányokkal,Ezüst,Normál,"",,2009,220347,Benzin,Első kerék,1 598 cm³,116,Manuális (5 fokozatú) sebességváltó,Automata klíma,"","","","multifunkciós kormánykerék, fedélzeti komputer, elektromos ablak elöl, elektromos tükör, könnyűfém felni, szervokormány, rádió",Sedan
14660186,OPEL ASTRA H H 1.7 CDTI. klíma. tempomat,"tempomat nagyon jó állapot, garázsban tartott jármű, nagyon szép és tiszta belső, jelentősebb elhasználódás jelei nelkül, magas felszereltség, nagy teljesítményű motor, alacsony fogyasztás, megbízható motor, reprezentatív jármű, rozsdamentes,   Hétfő–vasárnap, 9:00–21:00 - Közel 800 jó minőségű, ellenőrzött jármű közül választhat. - Minden autón 107 paramétert ellenőrzünk - Garantáltan kiváló piaci árak. - Hosszú próbautak. - A törlesztési időszak akár 84 hónap is lehet. - Kiemelkedően magas lízing jóváhagyási arány. - Ön választhat: zárt vagy nyílt végű lízing. - Telephelyünk: 040 Budaors, Sport utca 6.",https://www.hasznaltauto.hu/szemelyauto/opel/astra_h/opel_astra_h_h_1_7_cdti_klima_tempomat-14660186,1200000,"","",Érvényes magyar okmányokkal,Ezüst,Normál,"",,2009,245660,Dízel,Első kerék,1 686 cm³,110,Manuális (6 fokozatú) sebességváltó,Manuális klíma,"","","","multifunkciós kormánykerék, fedélzeti komputer, elektromos ablak elöl, elektromos tükör, szervokormány, tempomat, rádió, bluetooth-os kihangosító",Kombi
